song,date
/single/Thank%20U%2C%20Next/Ariana%20Grande/,2019-01-05
/single/Without%20Me/Halsey/,2019-01-05
/single/All%20I%20Want%20For%20Christmas%20Is%20You/Mariah%20Carey/,2019-01-05
/single/Sicko%20Mode/Travis%20Scott/,2019-01-05
/single/Sunflower%20%28Spider-Man%3A%20Into%20The%20Spider-Verse%29/Post%20Malone%20%26%20Swae%20Lee/,2019-01-05
/single/High%20Hopes/Panic%21%20At%20The%20Disco/,2019-01-05
/single/Happier/Marshmello%20%26%20Bastille/,2019-01-05
/single/Jingle%20Bell%20Rock/Bobby%20Helms/,2019-01-05
/single/Rockin%27%20Around%20The%20Christmas%20Tree/Brenda%20Lee/,2019-01-05
/single/A%20Holly%20Jolly%20Christmas/Burl%20Ives/,2019-01-05
/single/The%20Christmas%20Song%20%28Merry%20Christmas%20To%20You%29/Nat%20King%20Cole/,2019-01-05
/single/Drip%20Too%20Hard/Lil%20Baby%20%26%20Gunna/,2019-01-05
/single/It%27s%20The%20Most%20Wonderful%20Time%20Of%20The%20Year/Andy%20Williams/,2019-01-05
/single/Girls%20Like%20You/Maroon%205%20Featuring%20Cardi%20B/,2019-01-05
/single/ZEZE/Kodak%20Black%20Featuring%20Travis%20Scott%20%26%20Offset/,2019-01-05
/single/Rudolph%20The%20Red-Nosed%20Reindeer/Gene%20Autry/,2019-01-05
/single/Mo%20Bamba/Sheck%20Wes/,2019-01-05
/single/Wake%20Up%20In%20The%20Sky/Gucci%20Mane%20x%20Bruno%20Mars%20x%20Kodak%20Black/,2019-01-05
/single/Money/Cardi%20B/,2019-01-05
/single/Let%20It%20Snow%2C%20Let%20It%20Snow%2C%20Let%20It%20Snow/Dean%20Martin/,2019-01-05
/single/Eastside/Benny%20Blanco%2C%20Halsey%20%26%20Khalid/,2019-01-05
/single/Breathin/Ariana%20Grande/,2019-01-05
/single/Better%20Now/Post%20Malone/,2019-01-05
/single/Youngblood/5%20Seconds%20Of%20Summer/,2019-01-05
/single/Last%20Christmas/Wham%21/,2019-01-05
/single/Sleigh%20Ride/The%20Ronettes/,2019-01-05
/single/Lucid%20Dreams/Juice%20WRLD/,2019-01-05
/single/Here%20Comes%20Santa%20Claus%20%28Right%20Down%20Santa%20Claus%20Lane%29/Gene%20Autry/,2019-01-05
/single/Feliz%20Navidad/Jose%20Feliciano/,2019-01-05
/single/Taki%20Taki/DJ%20Snake%20Featuring%20Selena%20Gomez%2C%20Ozuna%20%26%20Cardi%20B/,2019-01-05
/single/MIA/Bad%20Bunny%20Featuring%20Drake/,2019-01-05
/single/%28There%27s%20No%20Place%20Like%29%20Home%20For%20The%20Holidays/Perry%20Como/,2019-01-05
/single/Leave%20Me%20Alone/Flipp%20Dinero/,2019-01-05
/single/White%20Christmas/Bing%20Crosby/,2019-01-05
/single/It%27s%20Beginning%20To%20Look%20A%20Lot%20Like%20Christmas/Perry%20Como%20and%20The%20Fontane%20Sisters%20With%20Mitchell%20Ayres%20and%20His%20Orchestra/,2019-01-05
/single/Going%20Bad/Meek%20Mill%20Featuring%20Drake/,2019-01-05
/single/A%20Lot/21%20Savage/,2019-01-05
/single/Trip/Ella%20Mai/,2019-01-05
/single/I%20Like%20It/Cardi%20B%2C%20Bad%20Bunny%20%26%20J%20Balvin/,2019-01-05
/single/Blue%20Christmas/Elvis%20Presley/,2019-01-05
/single/Speechless/Dan%20%2B%20Shay/,2019-01-05
/single/Happy%20Xmas%20%28War%20Is%20Over%29/John%20%26%20Yoko%20%2F%20Plastic%20Ono%20Band%20With%20The%20Harlem%20Community%20Choirg/,2019-01-05
/single/Christmas%20%28Baby%20Please%20Come%20Home%29/Darlene%20Love/,2019-01-05
/single/Underneath%20The%20Tree/Kelly%20Clarkson/,2019-01-05
/single/Run%20Rudolph%20Run/Chuck%20Berry/,2019-01-05
/single/Natural/Imagine%20Dragons/,2019-01-05
/single/Wow./Post%20Malone/,2019-01-05
/single/Love%20Lies/Khalid%20%26%20Normani/,2019-01-05
/single/Jingle%20Bells/Frank%20Sinatra/,2019-01-05
/single/Beautiful/Bazzi%20Featuring%20Camila%20Cabello/,2019-01-05
/single/Better/Khalid/,2019-01-05
/single/Shallow/Lady%20Gaga%20%26%20Bradley%20Cooper/,2019-01-05
/single/Cozy%20Little%20Christmas/Katy%20Perry/,2019-01-05
/single/She%20Got%20The%20Best%20Of%20Me/Luke%20Combs/,2019-01-05
/single/The%20Christmas%20Song/Lauren%20Daigle/,2019-01-05
/single/Uproar/Lil%20Wayne/,2019-01-05
/single/Swervin/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%206ix9ine/,2019-01-05
/single/Can%27t%20Leave%20Without%20It/21%20Savage/,2019-01-05
/single/You%20Say/Lauren%20Daigle/,2019-01-05
/single/Close%20To%20Me/Ellie%20Goulding%20X%20Diplo%20Featuring%20Swae%20Lee/,2019-01-05
/single/Best%20Shot/Jimmie%20Allen/,2019-01-05
/single/Dangerous/Meek%20Mill%20Featuring%20Jeremih%20%26%20PnB%20Rock/,2019-01-05
/single/Be%20Alright/Dean%20Lewis/,2019-01-05
/single/Drunk%20Me/Mitchell%20Tenpenny/,2019-01-05
/single/Startender/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%20Offset%20%26%20Tyga/,2019-01-05
/single/Look%20Back%20At%20It/A%20Boogie%20Wit%20da%20Hoodie/,2019-01-05
/single/All%20My%20Friends/21%20Savage/,2019-01-05
/single/BAD%21/XXXTENTACION/,2019-01-05
