date,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,error
2019-01-05,Thank U  Next,Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,3e9HZxeyfWwjeyPAMmWSSQ,207320.0,4.0,
2019-01-05,Without Me,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,6FZDfxM3a3UCqtzo5pxSLZ,201661.0,4.0,
2019-01-05,All I Want For Christmas Is You,Mariah Carey,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,0bYg9bo50gSsH3LtXe2SQn,241107.0,4.0,
2019-01-05,Sicko Mode,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,2xLMifQCjDGFmkHkpNLD9h,312820.0,4.0,
2019-01-05,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,0RiRZpuVRbi7oqRdSMwhQY,157560.0,4.0,
2019-01-05,High Hopes,Panic  At The Disco,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947.0,4.0,
2019-01-05,Happier,Marshmello   Bastille,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.011,7BqHUALzNBTanL6OvsqmC1,214290.0,4.0,
2019-01-05,Jingle Bell Rock,Bobby Helms,0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.806,119.705,7vQbuQcyTflfCIOu3Uzzya,130973.0,4.0,
2019-01-05,Rockin  Around The Christmas Tree,Brenda Lee,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,2EjXfH91m7f8HiJN1yQg97,126267.0,4.0,
2019-01-05,A Holly Jolly Christmas,Burl Ives,0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,77khP2fIVhSW23NwxrRluh,135533.0,4.0,
2019-01-05,The Christmas Song  Merry Christmas To You,Nat King Cole,0.319,0.21,1.0,-15.231,1.0,0.0341,0.92,8.06e-05,0.138,0.209,78.696,4PS1e8f2LvuTFgUs1Cn3ON,192160.0,4.0,
2019-01-05,Drip Too Hard,Lil Baby   Gunna,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,78QR3Wp35dqAhFEc2qAGjE,145543.0,4.0,
2019-01-05,It s The Most Wonderful Time Of The Year,Andy Williams,0.24,0.598,7.0,-8.435,1.0,0.0369,0.766,0.0,0.117,0.776,201.629,5hslUAKq9I9CG2bAulFkHN,151933.0,3.0,
2019-01-05,Girls Like You,Maroon 5  Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0,
2019-01-05,ZEZE,Kodak Black  Travis Scott   Offset,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,0FZ4Dmg8jJJAPJnvBIzD9z,228760.0,4.0,
2019-01-05,Rudolph The Red-Nosed Reindeer,Gene Autry,0.629,0.159,8.0,-14.056,1.0,0.0495,0.883,0.0,0.222,0.642,142.157,1dtIaSlyrLI04sqYa8nLyN,186733.0,4.0,
2019-01-05,Mo Bamba,Sheck Wes,0.729,0.625,4.0,-5.266,1.0,0.0315,0.194,0.00986,0.248,0.261,146.034,1xzBco0xcoJEDXktl7Jxrr,183907.0,4.0,
2019-01-05,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black,0.8,0.578,4.0,-5.144,0.0,0.0485,0.00381,0.0,0.359,0.367,143.01,0QIjsbm2fh1cJ45XO9eGqq,204665.0,4.0,
2019-01-05,Money,Cardi B,0.95,0.59,8.0,-6.508,0.0,0.29,0.00534,0.0,0.11,0.219,130.003,2GGMabyHXnJmjY6CXhhB2e,183527.0,4.0,
2019-01-05,Let It Snow  Let It Snow  Let It Snow,Dean Martin,0.451,0.24,1.0,-14.014,1.0,0.0351,0.912,2.45e-06,0.175,0.701,134.009,2uFaJJtFpPDc5Pa95XzTvg,117147.0,4.0,
2019-01-05,Eastside,Benny Blanco  Halsey   Khalid,0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,7FGq80cy8juXBCD2nrqdWU,170770.0,4.0,
2019-01-05,Breathin,Ariana Grande,0.568,0.656,8.0,-5.413,1.0,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,4OafepJy2teCjYJbvFE60J,198160.0,4.0,
2019-01-05,Better Now,Post Malone,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,7dt6x5M1jzdTEt8oCbisTK,231267.0,4.0,
2019-01-05,Youngblood,5 Seconds Of Summer,0.596,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418.0,4.0,
2019-01-05,Last Christmas,Wham,0.735,0.478,2.0,-12.472,1.0,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78,262960.0,4.0,
2019-01-05,Sleigh Ride,The Ronettes,0.529,0.772,2.0,-7.013,1.0,0.0287,0.403,2.21e-06,0.316,0.853,91.751,5ASM6Qjiav2xPe7gRkQMsQ,181267.0,4.0,
2019-01-05,Lucid Dreams,Juice WRLD,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR,239836.0,4.0,
2019-01-05,Here Comes Santa Claus  Right Down Santa Claus Lane,Gene Autry,0.834,0.371,1.0,-11.99,1.0,0.0358,0.799,0.0,0.275,0.976,96.628,25leEEaz1gIpp7o21Fqyjo,150267.0,4.0,
2019-01-05,Feliz Navidad,Jose Feliciano,0.513,0.831,2.0,-9.004,1.0,0.0383,0.55,0.0,0.336,0.963,148.837,0oPdaY4dXtc3ZsaG17V972,182067.0,4.0,
2019-01-05,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4w8niZpiMy6qz1mntFA5uM,212500.0,4.0,
2019-01-05,MIA,Bad Bunny  Drake,0.816,0.538,6.0,-6.354,0.0,0.0617,0.0142,0.000496,0.099,0.156,97.054,3gE4eQH3K83Sght0ZLvuBK,210368.0,4.0,
2019-01-05,There s No Place Like  Home For The Holidays,Perry Como,0.532,0.401,5.0,-10.629,1.0,0.0525,0.869,0.0,0.222,0.45,143.823,2GapxG7BxK55ihQRAlR39e,178293.0,4.0,
2019-01-05,Leave Me Alone,Flipp Dinero,0.792,0.743,7.0,-2.806,1.0,0.0851,0.107,0.0,0.183,0.742,150.024,6V7g6qM8wheMivMWrzbPTM,195637.0,4.0,
2019-01-05,White Christmas,Bing Crosby,0.317,0.158,9.0,-16.485,1.0,0.0381,0.673,0.353,0.338,0.247,130.503,4so0Wek9Ig1p6CRCHuINwW,177480.0,3.0,
2019-01-05,It s Beginning To Look A Lot Like Christmas,Perry Como and The Fontane Sisters With Mitchell Ayres and His Orchestra,0.724,0.276,7.0,-12.25,1.0,0.0599,0.76,0.0,0.116,0.718,112.874,2pXpURmn6zC5ZYDMms6fwa,155933.0,4.0,
2019-01-05,Going Bad,Meek Mill  Drake,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,2IRZnDFmlqMuOrYOLnZZyc,180522.0,4.0,
2019-01-05,A Lot,21 Savage,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,2t8yVaLvJ0RenpXUIAC52d,288624.0,4.0,
2019-01-05,Trip,Ella Mai,0.477,0.61,11.0,-5.628,0.0,0.144,0.225,0.0,0.107,0.358,79.882,6CTWathupIiDs7U4InHnDA,213993.0,4.0,
2019-01-05,I Like It,Cardi B  Bad Bunny   J Balvin,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390.0,4.0,
2019-01-05,Blue Christmas,Elvis Presley,0.465,0.27,4.0,-16.661,1.0,0.0425,0.9,0.00104,0.145,0.58,94.518,3QiAAp20rPC3dcAtKtMaqQ,129173.0,4.0,
2019-01-05,Speechless,Dan   Shay,0.616,0.438,1.0,-5.968,1.0,0.0298,0.356,0.0,0.24,0.386,135.929,3GJ4hzg4lrGwU51Y3VARbF,213387.0,4.0,
2019-01-05,Happy Xmas  War Is Over,John   Yoko   Plastic Ono Band With The Harlem Community Choirg,,,,,,,,,,,,,,,"{'status': 400, 'message': 'invalid request'}"
