date,track,artist,URI
2019-01-05,Thank U  Next,Ariana Grande,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ
2019-01-05,Without Me,Halsey,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ
2019-01-05,All I Want For Christmas Is You,Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn
2019-01-05,Sicko Mode,Travis Scott,spotify:track:2xLMifQCjDGFmkHkpNLD9h
2019-01-05,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee,spotify:track:0RiRZpuVRbi7oqRdSMwhQY
2019-01-05,High Hopes,Panic  At The Disco,spotify:track:1rqqCSm0Qe4I9rUvWncaom
2019-01-05,Happier,Marshmello   Bastille,spotify:track:7BqHUALzNBTanL6OvsqmC1
2019-01-05,Jingle Bell Rock,Bobby Helms,spotify:track:7vQbuQcyTflfCIOu3Uzzya
2019-01-05,Rockin  Around The Christmas Tree,Brenda Lee,spotify:track:2EjXfH91m7f8HiJN1yQg97
2019-01-05,A Holly Jolly Christmas,Burl Ives,spotify:track:77khP2fIVhSW23NwxrRluh
2019-01-05,The Christmas Song  Merry Christmas To You,Nat King Cole,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON
2019-01-05,Drip Too Hard,Lil Baby   Gunna,spotify:track:78QR3Wp35dqAhFEc2qAGjE
2019-01-05,It s The Most Wonderful Time Of The Year,Andy Williams,spotify:track:5hslUAKq9I9CG2bAulFkHN
2019-01-05,Girls Like You,Maroon 5  Cardi B,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk
2019-01-05,ZEZE,Kodak Black  Travis Scott   Offset,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z
2019-01-05,Rudolph The Red-Nosed Reindeer,Gene Autry,spotify:track:1dtIaSlyrLI04sqYa8nLyN
2019-01-05,Mo Bamba,Sheck Wes,spotify:track:1xzBco0xcoJEDXktl7Jxrr
2019-01-05,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black,spotify:track:0QIjsbm2fh1cJ45XO9eGqq
2019-01-05,Money,Cardi B,spotify:track:2GGMabyHXnJmjY6CXhhB2e
2019-01-05,Let It Snow  Let It Snow  Let It Snow,Dean Martin,spotify:track:2uFaJJtFpPDc5Pa95XzTvg
2019-01-05,Eastside,Benny Blanco  Halsey   Khalid,spotify:track:7FGq80cy8juXBCD2nrqdWU
2019-01-05,Breathin,Ariana Grande,spotify:track:4OafepJy2teCjYJbvFE60J
2019-01-05,Better Now,Post Malone,spotify:track:7dt6x5M1jzdTEt8oCbisTK
2019-01-05,Youngblood,5 Seconds Of Summer,spotify:track:2iUXsYOEPhVqEBwsqP70rE
2019-01-05,Last Christmas,Wham,spotify:track:2FRnf9qhLbvw8fu4IBXx78
2019-01-05,Sleigh Ride,The Ronettes,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ
2019-01-05,Lucid Dreams,Juice WRLD,spotify:track:285pBltuF7vW8TeWk8hdRR
2019-01-05,Here Comes Santa Claus  Right Down Santa Claus Lane,Gene Autry,spotify:track:25leEEaz1gIpp7o21Fqyjo
2019-01-05,Feliz Navidad,Jose Feliciano,spotify:track:0oPdaY4dXtc3ZsaG17V972
2019-01-05,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B,spotify:track:4w8niZpiMy6qz1mntFA5uM
2019-01-05,MIA,Bad Bunny  Drake,spotify:track:3gE4eQH3K83Sght0ZLvuBK
2019-01-05,There s No Place Like  Home For The Holidays,Perry Como,spotify:track:2GapxG7BxK55ihQRAlR39e
2019-01-05,Leave Me Alone,Flipp Dinero,spotify:track:6V7g6qM8wheMivMWrzbPTM
2019-01-05,White Christmas,Bing Crosby,spotify:track:4so0Wek9Ig1p6CRCHuINwW
2019-01-05,It s Beginning To Look A Lot Like Christmas,Perry Como and The Fontane Sisters With Mitchell Ayres and His Orchestra,spotify:track:2pXpURmn6zC5ZYDMms6fwa
2019-01-05,Going Bad,Meek Mill  Drake,spotify:track:2IRZnDFmlqMuOrYOLnZZyc
2019-01-05,A Lot,21 Savage,spotify:track:2t8yVaLvJ0RenpXUIAC52d
2019-01-05,Trip,Ella Mai,spotify:track:6CTWathupIiDs7U4InHnDA
2019-01-05,I Like It,Cardi B  Bad Bunny   J Balvin,spotify:track:58q2HKrzhC3ozto2nDdN4z
2019-01-05,Blue Christmas,Elvis Presley,spotify:track:3QiAAp20rPC3dcAtKtMaqQ
2019-01-05,Speechless,Dan   Shay,spotify:track:3GJ4hzg4lrGwU51Y3VARbF
2019-01-05,Happy Xmas  War Is Over,John   Yoko   Plastic Ono Band With The Harlem Community Choirg,
2019-01-05,Christmas  Baby Please Come Home,Darlene Love,spotify:track:46pF1zFimM582ss1PrMy68
2019-01-05,Underneath The Tree,Kelly Clarkson,spotify:track:3YZE5qDV7u1ZD1gZc47ZeR
2019-01-05,Run Rudolph Run,Chuck Berry,spotify:track:2pnPe4pJtq7689i5ydzvJJ
2019-01-05,Natural,Imagine Dragons,spotify:track:2FY7b99s15jUprqC0M5NCT
2019-01-05,Wow.,Post Malone,spotify:track:7xQAfvXzm3AkraOtGPWIZg
2019-01-05,Love Lies,Khalid   Normani,spotify:track:45Egmo7icyopuzJN0oMEdk
2019-01-05,Jingle Bells,Frank Sinatra,spotify:track:4HEOgBHRCExyYVeTyrXsnL
2019-01-05,Beautiful,Bazzi  Camila Cabello,spotify:track:4VUwkH455At9kENOfzTqmF
2019-01-05,Better,Khalid,spotify:track:6zeeWid2sgw4lap2jV61PZ
2019-01-05,Shallow,Lady Gaga   Bradley Cooper,spotify:track:2VxeLyX666F8uXCJ0dZF8B
2019-01-05,Cozy Little Christmas,Katy Perry,spotify:track:02FaKXXL7KUtRc7K0k54tL
2019-01-05,She Got The Best Of Me,Luke Combs,spotify:track:698eQRku24PIYPQPHItKlA
2019-01-05,The Christmas Song,Lauren Daigle,spotify:track:77dLL5ctI7j2BYb3ss7k8m
2019-01-05,Uproar,Lil Wayne,spotify:track:3wScL5W8H40zzCKN0atfBk
2019-01-05,Swervin,A Boogie Wit da Hoodie  6ix9ine,spotify:track:1wJRveJZLSb1rjhnUHQiv6
2019-01-05,Can t Leave Without It,21 Savage,spotify:track:0hPLZrnDgtKxrym1BHjDhd
2019-01-05,You Say,Lauren Daigle,spotify:track:6Up545NUflOiXo8cEraH49
2019-01-05,Close To Me,Ellie Goulding Diplo  Swae Lee,spotify:track:2GjMaJ7DacMIkgoe8oMXGg
2019-01-05,Best Shot,Jimmie Allen,spotify:track:3eDNb3ZG3gKgjAAgJBcOL8
2019-01-05,Dangerous,Meek Mill  Jeremih   PnB Rock,spotify:track:3lb5fWSG2p7x8ik8HN9oFR
2019-01-05,Be Alright,Dean Lewis,spotify:track:5qrSlOut2rNAWv3ubArkNy
2019-01-05,Drunk Me,Mitchell Tenpenny,spotify:track:1G4cdOtF36ZCs6i2dZoC87
2019-01-05,Startender,A Boogie Wit da Hoodie  Offset   Tyga,spotify:track:0jAfdqv18goRTUxm3ilRjb
2019-01-05,Look Back At It,A Boogie Wit da Hoodie,spotify:track:3Ol2xnObFdKV9pmRD2t9x8
2019-01-05,All My Friends,21 Savage,spotify:track:4paAidoE8VAemwU4jgCc6l
2019-01-05,BAD,XXXTENTACION,spotify:track:22An65gG31JLf9n18qjdhZ
2019-01-05,Backin  It Up,Pardison Fontaine  Cardi B,spotify:track:0PpfPNtQOOvbMNVJijTQj0
2019-01-05,Break Da Law,21 Savage,spotify:track:5ZSIExfQuVv69tw5Qw3yDl
2019-01-05,Imagine,Ariana Grande,spotify:track:39LmTF9RgyakzSYX8txrow
2019-01-05,Talk To Me,Tory Lanez   Rich The Kid,spotify:track:2QihWAl9xAwGPm5vGoO7uM
2019-01-05,Monster,21 Savage,spotify:track:2FUNBaa5DwItJtYEBgAblU
2019-01-05,Calling My Spirit,Kodak Black,spotify:track:2MShy1GSSgbmGUxADNIao5
2019-01-05,Consequences,Camila Cabello,spotify:track:7sTtHHrD0zDpmzQzH3zegz
2019-01-05,Armed and Dangerous,Juice WRLD,spotify:track:5wujBwqG7INdStqGd4tRMX
2019-01-05,Arms Around You,XXXTENTACION Lil Pump  Maluma   Swae Lee,spotify:track:2LskIZrCeLxRvCiGP8gxlh
2019-01-05,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus,spotify:track:02dRkCEc8Q5ch4TTcnLxOn
2019-01-05,Sixteen,Thomas Rhett,spotify:track:3pJkBPHadRAxBBo484RipI
2019-01-05,Burning Man,Dierks Bentley  Brothers Osborne,spotify:track:4a1oIihVt6xSnDRpgX387M
2019-01-05,Beautiful Crazy,Luke Combs,spotify:track:2rxQMGVafnNaRaXlRMWPde
2019-01-05,When The Party s Over,Billie Eilish,spotify:track:43zdsphuZLzwA9k4DJhU0I
